global_step,episode,episode_return,episode_length,success,collision,off_route,agents_alive_done,stagnation,timeout,terminal_reason
128,1,-1.0,128,0,1,0,0,0,0,collision
427,2,0.0,299,0,0,0,0,0,1,timeout
726,3,0.0,299,0,0,0,0,0,1,timeout
743,4,-1.0,17,0,1,0,0,0,0,collision
755,5,-1.0,12,0,0,1,0,0,0,off_route
1054,6,0.0,299,0,0,0,0,0,1,timeout
1057,7,-1.0,3,0,1,0,0,0,0,collision
1356,8,0.0,299,0,0,0,0,0,1,timeout
1503,9,-1.0,147,0,1,0,0,0,0,collision
1607,10,-1.0,104,0,1,0,0,0,0,collision
1612,11,-1.0,5,0,1,0,0,0,0,collision
1614,12,-1.0,2,0,1,0,0,0,0,collision
1615,13,-1.0,1,0,1,0,0,0,0,collision
1710,14,-1.0,95,0,1,0,0,0,0,collision
2009,15,0.0,299,0,0,0,0,0,1,timeout
2149,16,-1.0,140,0,1,0,0,0,0,collision
2359,17,-1.0,210,0,1,0,0,0,0,collision
2381,18,-1.0,22,0,0,1,0,0,0,off_route
2386,19,-1.0,5,0,0,1,0,0,0,off_route
2685,20,0.0,299,0,0,0,0,0,1,timeout
2984,21,0.0,299,0,0,0,0,0,1,timeout
128,1,-1.0,128,0,1,0,0,0,0,collision
427,2,0.0,299,0,0,0,0,0,1,timeout
557,3,-1.0,130,0,1,0,0,0,0,collision
758,4,-1.0,201,0,1,0,0,0,0,collision
769,5,-1.0,11,0,0,1,0,0,0,off_route
128,1,-1.0,128,0,1,0,0,0,0,collision
427,2,0.0,299,0,0,0,0,0,1,timeout
726,3,0.0,299,0,0,0,0,0,1,timeout
743,4,-1.0,17,0,1,0,0,0,0,collision
1042,5,0.0,299,0,0,0,0,0,1,timeout
1341,6,0.0,299,0,0,0,0,0,1,timeout
1344,7,-1.0,3,0,1,0,0,0,0,collision
1548,8,-1.0,204,0,1,0,0,0,0,collision
1587,9,-1.0,39,0,1,0,0,0,0,collision
1886,10,0.0,299,0,0,0,0,0,1,timeout
1893,11,-1.0,7,0,1,0,0,0,0,collision
1895,12,-1.0,2,0,1,0,0,0,0,collision
1896,13,-1.0,1,0,1,0,0,0,0,collision
2195,14,0.0,299,0,0,0,0,0,1,timeout
2422,15,-1.0,227,0,1,0,0,0,0,collision
2721,16,0.0,299,0,0,0,0,0,1,timeout
2924,17,-1.0,203,0,1,0,0,0,0,collision
3223,18,0.0,299,0,0,0,0,0,1,timeout
3228,19,-1.0,5,0,0,1,0,0,0,off_route
3503,20,-1.0,275,0,1,0,0,0,0,collision
3529,21,-1.0,26,0,1,0,0,0,0,collision
3593,22,-1.0,64,0,1,0,0,0,0,collision
3603,23,-1.0,10,0,0,1,0,0,0,off_route
3892,24,-1.0,289,0,1,0,0,0,0,collision
3965,25,-1.0,73,0,1,0,0,0,0,collision
4129,26,-1.0,164,0,1,0,0,0,0,collision
4277,27,-1.0,148,0,1,0,0,0,0,collision
4439,28,-1.0,162,0,1,0,0,0,0,collision
4643,29,-1.0,204,0,1,0,0,0,0,collision
4651,30,-1.0,8,0,0,1,0,0,0,off_route
4771,31,-1.0,120,0,1,0,0,0,0,collision
5070,32,0.0,299,0,0,0,0,0,1,timeout
5104,33,-1.0,34,0,1,0,0,0,0,collision
5403,34,0.0,299,0,0,0,0,0,1,timeout
5702,35,0.0,299,0,0,0,0,0,1,timeout
5800,36,-1.0,98,0,1,0,0,0,0,collision
5811,37,-1.0,11,0,0,1,0,0,0,off_route
5946,38,-1.0,135,0,1,0,0,0,0,collision
5953,39,-1.0,7,0,0,1,0,0,0,off_route
6252,40,0.0,299,0,0,0,0,0,1,timeout
6267,41,-1.0,15,0,0,1,0,0,0,off_route
6497,42,-1.0,230,0,1,0,0,0,0,collision
6552,43,-1.0,55,0,1,0,0,0,0,collision
6851,44,0.0,299,0,0,0,0,0,1,timeout
6967,45,-1.0,116,0,1,0,0,0,0,collision
7191,46,-1.0,224,0,1,0,0,0,0,collision
7374,47,-1.0,183,0,1,0,0,0,0,collision
7644,48,-1.0,270,0,1,0,0,0,0,collision
7850,49,-1.0,206,0,1,0,0,0,0,collision
8149,50,0.0,299,0,0,0,0,0,1,timeout
8257,51,-1.0,108,0,1,0,0,0,0,collision
8293,52,-1.0,36,0,1,0,0,0,0,collision
8592,53,0.0,299,0,0,0,0,0,1,timeout
8732,54,-1.0,140,0,1,0,0,0,0,collision
8884,55,-1.0,152,0,1,0,0,0,0,collision
8893,56,-1.0,9,0,0,1,0,0,0,off_route
8949,57,-1.0,56,0,1,0,0,0,0,collision
8978,58,-1.0,29,0,1,0,0,0,0,collision
8984,59,-1.0,6,0,0,1,0,0,0,off_route
9000,60,-1.0,16,0,1,0,0,0,0,collision
9299,61,0.0,299,0,0,0,0,0,1,timeout
9567,62,-1.0,268,0,1,0,0,0,0,collision
9620,63,-1.0,53,0,1,0,0,0,0,collision
9919,64,0.0,299,0,0,0,0,0,1,timeout
9981,65,-1.0,62,0,1,0,0,0,0,collision
10014,66,-1.0,33,0,1,0,0,0,0,collision
10313,67,0.0,299,0,0,0,0,0,1,timeout
10612,68,0.0,299,0,0,0,0,0,1,timeout
10911,69,0.0,299,0,0,0,0,0,1,timeout
11210,70,0.0,299,0,0,0,0,0,1,timeout
11509,71,0.0,299,0,0,0,0,0,1,timeout
11567,72,-1.0,58,0,1,0,0,0,0,collision
11626,73,-1.0,59,0,1,0,0,0,0,collision
11633,74,-1.0,7,0,1,0,0,0,0,collision
11889,75,-1.0,256,0,1,0,0,0,0,collision
12188,76,0.0,299,0,0,0,0,0,1,timeout
12192,77,-1.0,4,0,1,0,0,0,0,collision
12204,78,-1.0,12,0,1,0,0,0,0,collision
12478,79,-1.0,274,0,1,0,0,0,0,collision
12777,80,0.0,299,0,0,0,0,0,1,timeout
13076,81,0.0,299,0,0,0,0,0,1,timeout
13275,82,-1.0,199,0,1,0,0,0,0,collision
13285,83,-1.0,10,0,1,0,0,0,0,collision
13584,84,0.0,299,0,0,0,0,0,1,timeout
13586,85,-1.0,2,0,1,0,0,0,0,collision
13733,86,-1.0,147,0,1,0,0,0,0,collision
